recipe_id,asset_order,asset_role,asset_type,candidate_asset_id,asset_family,default_variant,available_variants,required,slot,variant_dimension,notes
recipe.detail.basic.vertical,2,详情头部,region,region.detail-header.rich,region.detail-header,rich,rich,false,PAGE_CONTENT_SLOT,,替代page-header+summary的统一详情头部
recipe.detail.basic.vertical,3,摘要区,region,region.detail-summary.basic,region.detail-summary,basic,basic,true,PAGE_CONTENT_SLOT,,
recipe.detail.basic.vertical,4,信息分组,region,region.detail-info-section.basic,region.detail-info-section,basic,basic;rich,true,PAGE_CONTENT_SLOT,,复杂详情可选rich变体
recipe.detail.basic.vertical,5,审批流,module,module-approval-flow-basic,module-approval-flow,basic,basic;rich,false,PAGE_CONTENT_SLOT,,审批环节丰富场景可选rich
recipe.detail.basic.vertical,6,关联表,module,module-related-table-basic,module-related-table-basic,basic,basic,false,PAGE_CONTENT_SLOT,,
recipe.detail.basic.vertical,7,操作记录,module,module.operation-log.single-row,module.operation-log,single-row,single-row;summary-table;detail-table,false,PAGE_CONTENT_SLOT,,按操作复杂度选变体：简单用single-row/多字段用summary-table+detail-table
recipe.detail.basic.vertical,8,底部操作栏,module,module.detail-action-bar.basic,module.detail-action-bar,basic,basic,false,PAGE_CONTENT_SLOT,,审批/编辑场景底部固定操作,
recipe.detail.basic.horizontal,1,页面头部,region,region.page-header.with-actions,region.page-header,with-actions,basic;with-actions;with-back,true,PAGE_CONTENT_SLOT,,
recipe.detail.basic.horizontal,2,左右详情布局,layout,layout.detail-side.basic,layout.detail-side,basic,basic,true,PAGE_CONTENT_SLOT,,
recipe.detail.table.horizontal,1,页面头部,region,region.page-header.with-actions,region.page-header,with-actions,basic;with-actions;with-back,true,PAGE_CONTENT_SLOT,,
recipe.detail.table.horizontal,2,左右详情布局,layout,layout.detail-side.basic,layout.detail-side,basic,basic,true,PAGE_CONTENT_SLOT,,
recipe.detail.table.horizontal,3,关联表,module,module-related-table-basic,module-related-table-basic,basic,basic,true,PAGE_CONTENT_SLOT,,
recipe.detail.table.vertical,1,页面头部,region,region.page-header.with-actions,region.page-header,with-actions,basic;with-actions;with-back,true,PAGE_CONTENT_SLOT,,
recipe.detail.table.vertical,2,详情头部,region,region.detail-header.rich,region.detail-header,rich,rich,false,PAGE_CONTENT_SLOT,,统一详情头部
recipe.detail.table.vertical,3,摘要区,region,region.detail-summary.basic,region.detail-summary,basic,basic,true,PAGE_CONTENT_SLOT,,
recipe.detail.table.vertical,4,表格详情网格,region,region.detail-info-section.rich,region.detail-info-section,rich,rich,true,PAGE_CONTENT_SLOT,,表格化详情网格：label灰底+value白底+分割线
recipe.detail.table.vertical,5,关联明细表,module,module-related-table-basic,module-related-table-basic,basic,basic,false,PAGE_CONTENT_SLOT,,
recipe.detail.table.vertical,6,审批流,module,module-approval-flow-basic,module-approval-flow,basic,basic;rich,false,PAGE_CONTENT_SLOT,,
recipe.detail.table.vertical,7,底部操作栏,module,module.detail-action-bar.basic,module.detail-action-bar,basic,basic,false,PAGE_CONTENT_SLOT,,
recipe.detail.edit,1,页面头部,region,region.page-header.basic,region.page-header,basic,basic;with-actions;with-back,true,PAGE_CONTENT_SLOT,,
recipe.detail.edit,2,编辑表单,region,region.form-section.basic,region.form-section,basic-section,basic-section;multi-section;horizontal,true,PAGE_CONTENT_SLOT,,
recipe.detail.edit,3,底部操作,region,region.form-footer-actions.sticky,region.form-footer-actions,sticky,sticky,true,PAGE_CONTENT_SLOT,,
recipe.settings.basic,1,页面头部,region,region.page-header.basic,region.page-header,basic,basic;with-actions,true,PAGE_CONTENT_SLOT,,
recipe.settings.basic,2,设置页布局,layout,layout.settings-anchor.basic,layout.settings-anchor,basic,basic,true,PAGE_CONTENT_SLOT,,
recipe.settings.basic,3,设置项,region,region.setting-section.basic,region.setting-section,basic,basic,true,PAGE_CONTENT_SLOT,,
recipe.home.basic,1,页面头部,region,region.page-header.basic,region.page-header,basic,basic;with-actions,true,PAGE_CONTENT_SLOT,,
recipe.home.basic,2,概览卡片,region,region.metric-grid.basic,region.metric-grid,basic,basic,true,PAGE_CONTENT_SLOT,,
recipe.home.basic,3,待办面板,region,region.home-task-panel.basic,region.home-task-panel,basic,basic,true,PAGE_CONTENT_SLOT,,
recipe.home.basic,4,快捷入口,region,region.quick-entry-grid.basic,region.quick-entry-grid,basic,basic,true,PAGE_CONTENT_SLOT,,
recipe.home.business,1,页面头部,region,region.page-header.basic,region.page-header,basic,basic;with-actions,true,PAGE_CONTENT_SLOT,,
recipe.home.business,2,业务概览,region,region.metric-grid.basic,region.metric-grid,basic,basic,true,PAGE_CONTENT_SLOT,,
recipe.home.business,3,业务栏目,region,region.business-section-grid.basic,region.business-section-grid,basic,basic,true,PAGE_CONTENT_SLOT,,
recipe.result.success,1,结果卡片,state,ST_RESULT_SUCCESS,ST_RESULT_SUCCESS,success,success,true,CONTENT_SLOT,,
recipe.result.fail,1,结果卡片,state,ST_RESULT_ERROR,ST_RESULT_ERROR,error,error,true,CONTENT_SLOT,,
recipe.exception.basic,1,异常卡片,region,region.result.exception,region.result,exception,exception,true,CONTENT_SLOT,,
recipe.workflow.detail,1,页面头部,region,region.page-header.with-actions,region.page-header,with-actions,basic;with-actions;with-back,true,PAGE_CONTENT_SLOT,,
recipe.workflow.detail,2,详情头部,region,region.detail-header.rich,region.detail-header,rich,rich,false,PAGE_CONTENT_SLOT,,审批详情优先使用统一头部
recipe.workflow.detail,3,摘要区,region,region.detail-summary.basic,region.detail-summary,basic,basic,true,PAGE_CONTENT_SLOT,,
recipe.workflow.detail,4,审批流,module,module-approval-flow-basic,module-approval-flow,basic,basic;rich;mode-selector,true,PAGE_CONTENT_SLOT,,审批详情优先使用rich变体
recipe.workflow.detail,5,信息分组,region,region.detail-info-section.basic,region.detail-info-section,basic,basic;rich,true,PAGE_CONTENT_SLOT,,
recipe.workflow.detail,6,附件预览,module,module-file-preview-basic,module-file-preview-basic,basic,basic,true,PAGE_CONTENT_SLOT,,
recipe.workflow.detail,7,操作记录,module,module.operation-log.single-row,module.operation-log,single-row,single-row;summary-table;detail-table,false,PAGE_CONTENT_SLOT,,审批流程操作记录可按复杂度选变体
recipe.workflow.detail,8,底部操作栏,module,module.detail-action-bar.basic,module.detail-action-bar,basic,basic,false,PAGE_CONTENT_SLOT,,审批操作底部固定栏,
recipe.form.advanced,1,页面头部,region,region.page-header.basic,region.page-header,basic,basic;with-actions;with-back,true,PAGE_CONTENT_SLOT,,
recipe.form.advanced,2,填写说明,region,region.form-summary-card.basic,region.form-summary-card,basic,basic,true,PAGE_CONTENT_SLOT,,
recipe.form.advanced,3,多分组表单,region,region.form-section.multi-section,region.form-section,multi-section,multi-section;basic-section;horizontal,true,PAGE_CONTENT_SLOT,,
recipe.form.advanced,4,动态明细,module,module-dynamic-form-list-basic,module-dynamic-form-list-basic,basic,basic,false,PAGE_CONTENT_SLOT,,
recipe.form.advanced,5,底部操作,region,region.form-footer-actions.sticky,region.form-footer-actions,sticky,sticky,true,PAGE_CONTENT_SLOT,,
recipe.detail.tabs,1,页面头部,region,region.page-header.with-actions,region.page-header,with-actions,basic;with-actions;with-back,true,PAGE_CONTENT_SLOT,,
recipe.detail.tabs,2,摘要区,region,region.detail-summary.basic,region.detail-summary,basic,basic,true,PAGE_CONTENT_SLOT,,
recipe.detail.tabs,3,标签导航,layout,layout.tabs.basic,layout.tabs,basic,basic,true,PAGE_CONTENT_SLOT,,
recipe.detail.tabs,4,概览标签,module,module-tab-panel-basic,module-tab-panel-basic,basic,basic,true,PAGE_CONTENT_SLOT,,
recipe.detail.tabs,5,详情标签,module,module-tab-panel-detail,module-tab-panel-detail,detail,detail,false,PAGE_CONTENT_SLOT,,
recipe.detail.tabs,6,日志标签,module,module-tab-panel-log,module-tab-panel-log,log,log,false,PAGE_CONTENT_SLOT,,
recipe.detail.table-tabs,1,页面头部,region,region.page-header.with-actions,region.page-header,with-actions,basic;with-actions;with-back,true,PAGE_CONTENT_SLOT,,
recipe.detail.table-tabs,2,摘要区,region,region.detail-summary.basic,region.detail-summary,basic,basic,true,PAGE_CONTENT_SLOT,,
recipe.detail.table-tabs,3,标签导航,layout,layout.tabs.basic,layout.tabs,basic,basic,true,PAGE_CONTENT_SLOT,,
recipe.detail.table-tabs,4,概览标签,module,module-tab-panel-basic,module-tab-panel-basic,basic,basic,true,PAGE_CONTENT_SLOT,,
recipe.detail.table-tabs,5,表格标签,module,module-tab-panel-table,module-tab-panel-table,table,table,true,PAGE_CONTENT_SLOT,,
recipe.detail.table-tabs,6,日志标签,module,module-tab-panel-log,module-tab-panel-log,log,log,false,PAGE_CONTENT_SLOT,,
recipe.complex.config,1,页面头部,region,region.page-header.basic,region.page-header,basic,basic;with-actions,true,PAGE_CONTENT_SLOT,,
recipe.complex.config,2,复杂配置布局,layout,layout.master-detail.basic,layout.master-detail,basic,basic,true,PAGE_CONTENT_SLOT,,
recipe.complex.config,3,配置编辑面板,module,module.config-editor-panel,module.config-editor-panel,panel,panel,true,PAGE_CONTENT_SLOT,,
